County,Counts,State
Los Angeles,138819,CA
San Bernardino,30251,CA
Orange,29670,CA
San Diego,26623,CA
Sacramento,25941,CA
Alameda,25285,CA
Riverside,24707,CA
Santa Clara,18772,CA
Contra Costa,12953,CA
Kern,10101,CA
San Joaquin,8488,CA
San Mateo,7988,CA
Fresno,7953,CA
Sonoma,5356,CA
Solano,5192,CA
Ventura,4978,CA
Stanislaus,4659,CA
San Francisco,4604,CA
Monterey,4379,CA
Placer,4156,CA
Santa Cruz,3547,CA
Tulare,3458,CA
Marin,3385,CA
Santa Barbara,3033,CA
Merced,2777,CA
El Dorado,2443,CA
Yolo,2385,CA
Madera,2231,CA
San Luis Obispo,2181,CA
Napa,1785,CA
Shasta,1676,CA
Mendocino,1675,CA
Nevada,1670,CA
Humboldt,1409,CA
Butte,1360,CA
Yuba,1134,CA
Lake,1107,CA
Kings,1047,CA
Siskiyou,1019,CA
Tuolumne,923,CA
San Benito,852,CA
Tehama,812,CA
Calaveras,728,CA
Amador,668,CA
Sutter,585,CA
Lassen,546,CA
Colusa,435,CA
Del Norte,419,CA
Mono,410,CA
Trinity,383,CA
Glenn,363,CA
Mariposa,352,CA
Plumas,347,CA
Inyo,312,CA
Modoc,176,CA
Alpine,147,CA
Sierra,107,CA
Imperial,71,CA
Miami-Dade,47382,FL
Orange,18703,FL
Broward,12421,FL
Hillsborough,9640,FL
Duval,7567,FL
Palm Beach,6456,FL
Pinellas,6244,FL
Manatee,3838,FL
Lee,3535,FL
Sarasota,3279,FL
Pasco,3248,FL
Escambia,2935,FL
Osceola,2590,FL
Brevard,2502,FL
Seminole,2053,FL
Marion,1930,FL
Leon,1724,FL
Volusia,1456,FL
Santa Rosa,1099,FL
Polk,1030,FL
Alachua,921,FL
St. Lucie,820,FL
St. Johns,805,FL
Lake,702,FL
Collier,678,FL
Clay,659,FL
Martin,655,FL
Okaloosa,621,FL
Hernando,580,FL
Sumter,520,FL
Columbia,491,FL
Bay,484,FL
Charlotte,474,FL
Gadsden,375,FL
Monroe,353,FL
Walton,347,FL
Jackson,326,FL
Highlands,292,FL
Nassau,288,FL
Flagler,246,FL
Indian River,243,FL
Baker,243,FL
Citrus,236,FL
Putnam,227,FL
Suwannee,216,FL
Madison,173,FL
Hamilton,152,FL
Jefferson,133,FL
Washington,133,FL
Levy,120,FL
Wakulla,115,FL
Hardee,111,FL
