,ID,Start_Lat,Start_Lng,City,State
1012,A-2717612,38.82584,-120.029214,Echo Lake,CA
1013,A-2717613,37.358209,-121.84001699999999,San Jose,CA
1014,A-2717614,37.881943,-122.30798700000001,Berkeley,CA
1015,A-2717615,37.881038000000004,-122.30778799999999,Berkeley,CA
1016,A-2717616,38.518811,-121.10166399999999,Sloughhouse,CA
1017,A-2717617,38.518811,-121.10166399999999,Sloughhouse,CA
1018,A-2717618,36.9903,-119.71146,Friant,CA
1019,A-2717619,37.42592,-122.09879,Palo Alto,CA
1020,A-2717620,37.75745,-122.21131000000001,Oakland,CA
1021,A-2717621,37.31648,-121.96746,San Jose,CA
1022,A-2717622,37.44415,-122.2688,Redwood City,CA
1023,A-2717623,37.719809999999995,-121.65943,Livermore,CA
1024,A-2717624,37.827434000000004,-122.29103700000002,Emeryville,CA
1025,A-2717625,37.589090999999996,-122.3599,Burlingame,CA
1026,A-2717626,37.377536,-121.945376,Santa Clara,CA
1027,A-2717627,37.74508,-122.40493000000001,San Francisco,CA
1028,A-2717628,38.4498,-122.6878,Santa Rosa,CA
1029,A-2717629,37.886875,-122.309331,Berkeley,CA
1030,A-2717630,37.616444,-122.157178,Hayward,CA
1031,A-2717631,38.00979,-122.02371000000001,Concord,CA
1032,A-2717632,37.895515,-122.308355,Berkeley,CA
1033,A-2717633,37.891932000000004,-122.063207,Walnut Creek,CA
1034,A-2717634,37.85139,-122.29956000000001,Berkeley,CA
1035,A-2717635,38.51928,-122.77344599999999,Santa Rosa,CA
1036,A-2717636,37.556444,-121.950327,Fremont,CA
1037,A-2717637,38.500341999999996,-121.431106,Sacramento,CA
1038,A-2717638,37.554454,-121.946955,Fremont,CA
1039,A-2717639,37.74987,-122.20438999999999,Oakland,CA
1040,A-2717640,38.59486,-121.44422,Sacramento,CA
1041,A-2717641,37.854628999999996,-122.21730500000001,Oakland,CA
1042,A-2717642,38.6061,-121.43255,Sacramento,CA
1043,A-2717643,36.98829,-122.00633,Santa Cruz,CA
1044,A-2717644,35.56127,-119.19851000000001,Mc Farland,CA
1045,A-2717645,38.47782,-121.42671000000001,Sacramento,CA
1046,A-2717646,38.151056,-122.448699,Sonoma,CA
1047,A-2717647,37.854628999999996,-122.21730500000001,Oakland,CA
1048,A-2717648,37.68872,-122.10838000000001,Hayward,CA
1049,A-2717649,37.3647,-121.8439,San Jose,CA
1050,A-2717650,38.769740000000006,-121.2488,Roseville,CA
1051,A-2717651,37.769009000000004,-122.40514399999999,San Francisco,CA
1052,A-2717652,38.24584,-122.6257,Petaluma,CA
1053,A-2717653,37.629529999999995,-122.42966000000001,San Bruno,CA
1054,A-2717654,37.98429,-122.31563999999999,San Pablo,CA
1055,A-2717655,37.459759999999996,-122.1395,Palo Alto,CA
1056,A-2717656,37.25045,-121.91056999999999,San Jose,CA
1057,A-2717657,37.15594,-121.65561000000001,Morgan Hill,CA
1058,A-2717658,37.37231,-121.92108999999999,San Jose,CA
1059,A-2717659,37.84131,-122.29735,Emeryville,CA
1060,A-2717660,37.687490000000004,-121.91726000000001,Pleasanton,CA
1061,A-2717661,38.234390000000005,-122.10477,Fairfield,CA
1062,A-2717662,37.80791,-122.3674,San Francisco,CA
1063,A-2717663,37.645379999999996,-122.0948,Hayward,CA
1064,A-2717664,37.124179999999996,-120.24864,Chowchilla,CA
1065,A-2717665,38.618901,-121.416952,Sacramento,CA
1066,A-2717666,37.3603,-121.84156999999999,San Jose,CA
1067,A-2717667,37.93985,-122.32493000000001,Richmond,CA
1068,A-2717668,37.63196,-122.43701000000001,San Bruno,CA
1069,A-2717669,37.57459,-122.26125,San Mateo,CA
1070,A-2717670,37.706790000000005,-121.723,Livermore,CA
1071,A-2717671,37.81917,-122.25381000000002,Oakland,CA
1072,A-2717672,37.84131,-122.29735,Emeryville,CA
1073,A-2717673,37.29667,-121.93973000000001,Campbell,CA
1074,A-2717674,37.413340000000005,-121.9829,Santa Clara,CA
1075,A-2717675,37.333690000000004,-121.93726000000001,San Jose,CA
1076,A-2717676,38.57493,-121.55161000000001,West Sacramento,CA
1077,A-2717677,37.78606,-122.3909,San Francisco,CA
1078,A-2717678,37.848209999999995,-122.02781999999999,Alamo,CA
1079,A-2717679,37.881240000000005,-122.30814,Berkeley,CA
1080,A-2717680,37.824567,-122.31308600000001,Oakland,CA
1081,A-2717681,38.533628,-120.759758,Plymouth,CA
1082,A-2717682,38.533386,-120.76106100000001,Plymouth,CA
1083,A-2717683,37.31916,-121.99202,San Jose,CA
1084,A-2717684,37.36142,-121.91656,San Jose,CA
1085,A-2717685,37.350359999999995,-121.91618999999999,San Jose,CA
1086,A-2717686,37.27353,-121.86268999999999,San Jose,CA
1087,A-2717687,37.31494,-122.18693,La Honda,CA
1088,A-2717688,37.38433,-121.97166999999999,Santa Clara,CA
1089,A-2717689,37.886983,-122.30876299999998,Berkeley,CA
1090,A-2717690,37.74987,-122.20438999999999,Oakland,CA
1091,A-2717691,37.7017,-121.88372,Pleasanton,CA
1092,A-2717692,37.74987,-122.20438999999999,Oakland,CA
1093,A-2717693,37.6907,-122.09411000000001,Castro Valley,CA
1094,A-2717694,39.153469,-121.587801,Marysville,CA
