Lat,Lng,State,County,center_id,counts
-118.4000582,34.00026864,CA,Los Angeles,0,11518
-118.0120034,34.07125004,CA,Los Angeles,1,15645
-118.5077181,34.35948634,CA,Los Angeles,2,6449
-118.2601018,33.88118339,CA,Los Angeles,3,19360
-117.8244786,34.06096924,CA,Los Angeles,4,13355
-118.1083422,33.907962,CA,Los Angeles,5,16228
-118.6630923,34.13370873,CA,Los Angeles,6,2757
-118.1292479,34.57845759,CA,Los Angeles,7,3326
-118.7540086,34.69679622,CA,Los Angeles,8,977
-118.2192682,34.03581237,CA,Los Angeles,9,24236
-118.439171,34.19379488,CA,Los Angeles,10,13887
-118.2594958,34.14963896,CA,Los Angeles,11,11079
-117.2548379,34.09360162,CA,San Bernardino,0,9675
-117.62084,34.06575587,CA,San Bernardino,1,9748
-114.7057674,34.60649376,CA,San Bernardino,2,245
-117.4351467,34.12717847,CA,San Bernardino,3,6385
-117.430658,34.38560986,CA,San Bernardino,4,3471
-117.1954112,34.87478778,CA,San Bernardino,5,727
-117.8765102,33.68046453,CA,Orange,0,3241
-117.9763065,33.85219071,CA,Orange,1,3057
-117.6243993,33.49147123,CA,Orange,2,1401
-117.8680857,33.87055974,CA,Orange,3,4082
-117.738577,33.86399806,CA,Orange,4,2273
-118.0654684,33.77754532,CA,Orange,5,1777
-117.7735525,33.68849106,CA,Orange,6,2641
-117.6851531,33.59515367,CA,Orange,7,2621
-117.9694466,33.73811109,CA,Orange,8,2609
-117.8638938,33.77151148,CA,Orange,9,5968
-117.0750953,32.67322033,CA,San Diego,0,4073
-117.2581169,32.99973501,CA,San Diego,1,2126
-117.0757332,33.00242033,CA,San Diego,2,1736
-117.180245,33.33718244,CA,San Diego,3,1861
-117.5099533,33.33172688,CA,San Diego,4,642
-117.1404623,32.75208733,CA,San Diego,5,7208
-117.140089,33.14273471,CA,San Diego,6,2547
-117.3250011,33.16730911,CA,San Diego,7,2471
-116.5574223,32.86072308,CA,San Diego,8,130
-117.1649527,32.85605991,CA,San Diego,9,3829
-121.3539266,38.67070187,CA,Sacramento,0,4777
-121.4811524,38.35990889,CA,Sacramento,1,482
-121.4811819,38.54688792,CA,Sacramento,2,5595
-121.3131824,38.32892271,CA,Sacramento,3,860
-121.5168337,38.64197876,CA,Sacramento,4,2481
-121.3311086,38.55459939,CA,Sacramento,5,1693
-121.4099268,38.59964778,CA,Sacramento,6,4379
-121.2221155,38.64149892,CA,Sacramento,7,2078
-121.4180254,38.47553599,CA,Sacramento,8,3176
-121.6653742,38.13571547,CA,Sacramento,9,420
-80.32465203,25.78773953,FL,Miami-Dade,0,4159
-80.20407731,25.91843725,FL,Miami-Dade,1,6830
-80.40849861,25.67510664,FL,Miami-Dade,2,5446
-80.22052997,25.86448594,FL,Miami-Dade,3,5155
-80.30349239,25.92971725,FL,Miami-Dade,4,3064
-80.36462938,25.60201796,FL,Miami-Dade,5,3376
-80.32565546,25.71517466,FL,Miami-Dade,6,4414
-80.21416831,25.79706552,FL,Miami-Dade,7,5318
-80.45065092,25.48770994,FL,Miami-Dade,8,1481
-80.16190023,25.94752664,FL,Miami-Dade,9,2888
-80.39307676,25.75593465,FL,Miami-Dade,10,2591
-80.34239065,25.87487269,FL,Miami-Dade,11,2660
-81.39607905,28.60291933,FL,Orange,0,1787
-81.45481529,28.46756393,FL,Orange,1,2352
-81.29421575,28.55373234,FL,Orange,2,2138
-81.21047936,28.56567424,FL,Orange,3,1141
-81.5745677,28.5368779,FL,Orange,4,634
-81.47012089,28.56145935,FL,Orange,5,1996
-81.27346297,28.44075383,FL,Orange,6,1086
-81.03430582,28.46469931,FL,Orange,7,311
-81.51896927,28.37694915,FL,Orange,8,701
-81.5319573,28.6855852,FL,Orange,9,422
-81.38962806,28.52818364,FL,Orange,10,3689
-81.3991573,28.41514603,FL,Orange,11,2446
-80.27498059,26.25110122,FL,Broward,0,282
-80.17138086,26.0088827,FL,Broward,1,3049
-80.13641421,26.28483582,FL,Broward,2,1379
-80.34700421,26.11554839,FL,Broward,3,997
-80.80134647,26.16376764,FL,Broward,4,101
-80.19296698,26.09308038,FL,Broward,5,3421
-80.16171336,26.17577863,FL,Broward,6,2386
-80.30849853,25.993039,FL,Broward,7,806
-82.53551309,27.96604294,FL,Hillsborough,0,1427
-82.3366295,28.01055879,FL,Hillsborough,1,1323
-82.47508066,28.0733239,FL,Hillsborough,2,1360
-82.34229707,27.86361068,FL,Hillsborough,3,719
-82.36226592,27.73943107,FL,Hillsborough,4,725
-82.65998896,27.63479602,FL,Hillsborough,5,57
-82.15845847,28.02110239,FL,Hillsborough,6,671
-82.44558355,27.97266836,FL,Hillsborough,7,1880
-82.39150831,28.14356103,FL,Hillsborough,8,235
-82.31734145,27.93715257,FL,Hillsborough,9,1243
-81.76176052,30.32446503,FL,Duval,0,989
-81.57840558,30.19420596,FL,Duval,1,1155
-81.55375575,30.37449085,FL,Duval,2,751
-81.66208091,30.32723585,FL,Duval,3,1852
-81.74330595,30.21570477,FL,Duval,4,829
-81.94775176,30.28933228,FL,Duval,5,193
-81.50465918,30.26024237,FL,Duval,6,924
-81.65460492,30.45940277,FL,Duval,7,874
-96.82910264,32.72811534,TX,Dallas,0,2008
-96.75765282,32.91793348,TX,Dallas,1,3136
-96.64083441,32.70979736,TX,Dallas,2,890
-96.87737004,32.82576588,TX,Dallas,3,1445
-96.91141079,32.91568077,TX,Dallas,4,2059
-96.61127316,32.82838276,TX,Dallas,5,1469
-96.95728416,32.68196694,TX,Dallas,6,661
-96.84875515,32.65312653,TX,Dallas,7,1321
-96.70855027,32.78847534,TX,Dallas,8,1340
-96.69463727,32.88151329,TX,Dallas,9,1735
-96.7467233,32.66990333,TX,Dallas,10,873
-96.79183645,32.79113965,TX,Dallas,11,4223
-96.82625787,32.92457614,TX,Dallas,12,1284
-96.9547247,32.79322567,TX,Dallas,13,1126
-95.37534875,29.8347602,TX,Harris,0,3007
-95.38703204,29.65057106,TX,Harris,1,1817
-95.55158475,29.69770897,TX,Harris,2,2273
-95.11511074,29.75597024,TX,Harris,3,791
-95.43817263,29.97310473,TX,Harris,4,1959
-95.71266038,29.83735754,TX,Harris,5,605
-95.46085494,29.74547735,TX,Harris,6,3189
-95.27776192,29.94580683,TX,Harris,7,780
-95.27104639,29.72487779,TX,Harris,8,2544
-95.54700087,29.82367071,TX,Harris,9,1962
-95.19176257,29.59960578,TX,Harris,10,1059
-95.36697132,29.75312177,TX,Harris,11,3067
-97.54414917,30.35278979,TX,Travis,0,311
-97.73521761,30.22789383,TX,Travis,1,1048
-97.74114174,30.37969068,TX,Travis,2,663
-97.66749507,30.42780968,TX,Travis,3,929
-97.85741572,30.23803951,TX,Travis,4,484
-98.02405388,30.34785669,TX,Travis,5,96
-97.73428488,30.2811312,TX,Travis,6,1339
-97.68997528,30.33820482,TX,Travis,7,1201
-97.78614205,30.17093746,TX,Travis,8,809
-97.679939,30.14604156,TX,Travis,9,312
-97.60987115,30.22537214,TX,Travis,10,352
-97.87257837,30.42367473,TX,Travis,11,161
-97.3265668,32.65524649,TX,Tarrant,0,717
-97.08142721,32.67748773,TX,Tarrant,1,464
-97.08116478,32.83767925,TX,Tarrant,2,611
