County,Counts,State
Los Angeles,138817,CA
San Bernardino,30251,CA
Orange,29670,CA
San Diego,26623,CA
Sacramento,25941,CA
Alameda,25285,CA
Riverside,24707,CA
Santa Clara,18772,CA
Contra Costa,12953,CA
Kern,10101,CA
Miami-Dade,47382,FL
Orange,18703,FL
Broward,12421,FL
Hillsborough,9640,FL
Duval,7567,FL
Palm Beach,6456,FL
Pinellas,6244,FL
Manatee,3838,FL
Lee,3535,FL
Sarasota,3277,FL
Dallas,23570,TX
Harris,23053,TX
Travis,7705,TX
Tarrant,6568,TX
Bexar,3974,TX
El Paso,2589,TX
Collin,1077,TX
Denton,991,TX
Smith,828,TX
Williamson,495,TX
Fulton,8793,GA
DeKalb,5001,GA
Cobb,2375,GA
Clayton,1483,GA
Gwinnett,1455,GA
Henry,764,GA
Chatham,586,GA
Richmond,448,GA
Douglas,443,GA
Coweta,439,GA
