,Unnamed: 0,ID,Start_Time,County,State,Severity,Start_Lat,Start_Lng,Sunrise_Sunset,Weekday,Hour,Month
22306,33697,A-2750297,2016-12-04 05:43:26,Clayton,GA,4,33.639070000000004,-84.37810999999999,Night,6,5,12
22333,33791,A-2750391,2016-12-05 03:03:49,Clayton,GA,4,33.62464,-84.45815,Night,0,3,12
22348,33853,A-2750453,2016-12-05 07:31:06,Clayton,GA,4,33.625417999999996,-84.456962,Day,0,7,12
22465,34466,A-2751066,2016-12-06 11:53:45,Clayton,GA,3,33.63367,-84.40126,Day,1,11,12
22810,35835,A-2752435,2016-12-09 17:34:33,Clayton,GA,2,33.64562,-84.39832,Night,4,17,12
22836,36005,A-2752605,2016-12-10 08:01:24,Clayton,GA,3,33.58422,-84.37375,Day,5,8,12
22854,36096,A-2752696,2016-12-11 05:14:46,Clayton,GA,3,33.61886,-84.43324,Night,6,5,12
22919,36492,A-2753092,2016-12-12 14:15:48,Clayton,GA,2,33.6251,-84.40173,Day,0,14,12
23035,37186,A-2753786,2016-12-13 23:39:32,Clayton,GA,2,33.61717,-84.39841,Night,1,23,12
23091,37462,A-2754062,2016-12-14 14:27:05,Clayton,GA,2,33.6324,-84.40643,Day,2,14,12
23092,37463,A-2754063,2016-12-14 14:27:05,Clayton,GA,2,33.634809999999995,-84.39905,Day,2,14,12
23093,37464,A-2754064,2016-12-14 14:27:05,Clayton,GA,2,33.631190000000004,-84.41099,Day,2,14,12
23094,37465,A-2754065,2016-12-14 14:27:05,Clayton,GA,2,33.62683,-84.41891,Day,2,14,12
23095,37466,A-2754066,2016-12-14 14:27:05,Clayton,GA,2,33.632459999999995,-84.40071999999999,Day,2,14,12
23252,38245,A-2754845,2016-12-15 23:02:25,Clayton,GA,4,33.578265,-84.28727099999999,Night,3,23,12
23528,39559,A-2756159,2016-12-19 20:37:28,Clayton,GA,3,33.58422,-84.37375,Night,0,20,12
23912,41322,A-2757922,2016-12-25 04:50:16,Clayton,GA,3,33.627390000000005,-84.45602,Night,6,4,12
23941,41419,A-2758019,2016-12-27 05:38:09,Clayton,GA,4,33.63176,-84.39544000000001,Night,1,5,12
24053,41853,A-2758453,2016-12-28 11:48:53,Clayton,GA,2,33.61886,-84.43324,Day,2,11,12
24359,43013,A-2759613,2017-01-03 08:21:00,Clayton,GA,2,33.57498,-84.3355,Day,1,8,1
24654,44399,A-2760999,2017-01-07 04:34:05,Clayton,GA,4,33.561609999999995,-84.3145,Night,5,4,1
24655,44400,A-2761000,2017-01-07 04:38:02,Clayton,GA,4,33.609065,-84.395842,Night,5,4,1
24671,44434,A-2761034,2017-01-07 10:12:21,Clayton,GA,3,33.63531,-84.45725999999999,Day,5,10,1
25080,46383,A-2762983,2017-01-13 07:59:05,Clayton,GA,3,33.61886,-84.43324,Day,4,7,1
25167,46689,A-2763289,2017-01-14 05:23:31,Clayton,GA,3,33.58805,-84.38351999999999,Night,5,5,1
25185,46745,A-2763345,2017-01-15 01:39:42,Clayton,GA,4,33.61717,-84.39841,Night,6,1,1
25186,46751,A-2763351,2017-01-15 03:29:08,Clayton,GA,4,33.62966,-84.40066,Night,6,3,1
25504,48100,A-2764700,2017-01-19 19:08:30,Clayton,GA,3,33.56749,-84.32422,Night,3,19,1
25625,48590,A-2765190,2017-01-21 04:22:10,Clayton,GA,4,33.61717,-84.39841,Night,5,4,1
25631,48612,A-2765212,2017-01-21 10:15:12,Clayton,GA,3,33.572509000000004,-84.331379,Day,5,10,1
25775,49392,A-2765992,2017-01-24 14:43:17,Clayton,GA,2,33.6324,-84.40643,Day,1,14,1
25776,49393,A-2765993,2017-01-24 14:43:17,Clayton,GA,2,33.62766,-84.40167,Day,1,14,1
25777,49394,A-2765994,2017-01-24 14:43:17,Clayton,GA,2,33.631190000000004,-84.41099,Day,1,14,1
25778,49395,A-2765995,2017-01-24 14:43:17,Clayton,GA,2,33.62683,-84.41891,Day,1,14,1
25779,49396,A-2765996,2017-01-24 14:43:17,Clayton,GA,2,33.63133,-84.40425,Day,1,14,1
25876,49814,A-2766414,2017-01-25 17:05:35,Clayton,GA,3,33.64519,-84.39882,Day,2,17,1
25928,50088,A-2766688,2017-01-26 14:34:18,Clayton,GA,2,33.616690999999996,-84.447006,Day,3,14,1
26225,51507,A-2768107,2016-10-25 08:08:27,Clayton,GA,2,33.61886,-84.43324,Day,1,8,10
26226,51508,A-2768108,2016-10-25 08:09:52,Clayton,GA,3,33.616170000000004,-84.44304,Day,1,8,10
26373,52158,A-2768758,2016-10-26 14:33:11,Clayton,GA,2,33.616279999999996,-84.29722,Day,2,14,10
26383,52206,A-2768806,2016-10-26 15:57:57,Clayton,GA,3,33.575843,-84.372327,Day,2,15,10
26394,52255,A-2768855,2016-10-26 17:11:10,Clayton,GA,2,33.61717,-84.39841,Day,2,17,10
26651,53375,A-2769975,2016-11-01 09:20:24,Clayton,GA,2,33.609790000000004,-84.39609,Day,1,9,11
26743,53700,A-2770300,2016-11-02 07:39:37,Clayton,GA,2,33.640679999999996,-84.40025,Night,2,7,11
26855,54192,A-2770792,2016-11-03 10:52:00,Clayton,GA,3,33.63367,-84.40126,Day,3,10,11
27050,55168,A-2771768,2016-11-07 08:40:23,Clayton,GA,2,33.61886,-84.43324,Day,0,8,11
27143,55467,A-2772067,2016-11-07 19:23:41,Clayton,GA,2,33.574670000000005,-84.27615,Night,0,19,11
27144,55471,A-2772071,2016-11-07 19:35:22,Clayton,GA,3,33.637473,-84.401439,Night,0,19,11
27266,55949,A-2772549,2016-11-08 21:05:47,Clayton,GA,3,33.641090999999996,-84.400012,Night,1,21,11
27366,56402,A-2773002,2016-11-10 08:57:07,Clayton,GA,2,33.62964,-84.30024,Day,3,8,11
27444,56733,A-2773333,2016-11-11 06:16:58,Clayton,GA,2,33.64562,-84.39832,Night,4,6,11
27520,57017,A-2773617,2016-11-11 20:11:20,Clayton,GA,3,33.629090000000005,-84.40042,Night,4,20,11
27546,57134,A-2773734,2016-11-13 04:03:04,Clayton,GA,4,33.58805,-84.38351999999999,Night,6,4,11
27632,57547,A-2774147,2016-11-14 18:31:42,Clayton,GA,2,33.56749,-84.32422,Night,0,18,11
27659,57631,A-2774231,2016-11-15 05:38:24,Clayton,GA,3,33.58805,-84.38351999999999,Night,1,5,11
27755,58000,A-2774600,2016-11-15 18:23:25,Clayton,GA,2,33.61717,-84.39841,Night,1,18,11
27812,58211,A-2774811,2016-11-16 08:42:27,Clayton,GA,2,33.583042999999996,-84.36956500000001,Day,2,8,11
28016,59011,A-2775611,2016-11-18 09:24:35,Clayton,GA,3,33.609790000000004,-84.39609,Day,4,9,11
28165,59784,A-2776384,2016-11-21 12:32:56,Clayton,GA,3,33.639070000000004,-84.37810999999999,Day,0,12,11
28226,59951,A-2776551,2016-11-21 18:36:47,Clayton,GA,2,33.557970000000005,-84.27033,Night,0,18,11
28254,60039,A-2776639,2016-11-22 06:25:26,Clayton,GA,2,33.6324,-84.40643,Night,1,6,11
28255,60040,A-2776640,2016-11-22 06:25:26,Clayton,GA,2,33.632459999999995,-84.40071999999999,Night,1,6,11
28257,60042,A-2776642,2016-11-22 06:25:26,Clayton,GA,2,33.634809999999995,-84.39905,Night,1,6,11
28258,60043,A-2776643,2016-11-22 06:25:26,Clayton,GA,2,33.631190000000004,-84.41099,Night,1,6,11
28259,60044,A-2776644,2016-11-22 06:25:26,Clayton,GA,2,33.62683,-84.41891,Night,1,6,11
28301,60203,A-2776803,2016-11-22 11:28:27,Clayton,GA,2,33.574670000000005,-84.27615,Day,1,11,11
28322,60295,A-2776895,2016-11-22 15:25:48,Clayton,GA,2,33.616709,-84.398074,Day,1,15,11
28338,60368,A-2776968,2016-11-22 17:26:46,Clayton,GA,3,33.584210999999996,-84.37371800000001,Day,1,17,11
28344,60410,A-2777010,2016-11-22 18:39:32,Clayton,GA,3,33.57855,-84.3503,Night,1,18,11
28442,60920,A-2777520,2016-11-23 20:44:03,Clayton,GA,2,33.58113,-84.27976,Night,2,20,11
28475,61052,A-2777652,2016-11-24 19:28:36,Clayton,GA,2,33.50434,-84.35176,Night,3,19,11
28477,61056,A-2777656,2016-11-24 19:53:02,Clayton,GA,2,33.63292,-84.40753000000001,Night,3,19,11
28478,61057,A-2777657,2016-11-24 19:53:02,Clayton,GA,2,33.63364,-84.40383,Night,3,19,11
28479,61058,A-2777658,2016-11-24 19:53:02,Clayton,GA,2,33.63136,-84.41223000000001,Night,3,19,11
28569,61500,A-2778100,2016-11-28 06:25:29,Clayton,GA,2,33.624476,-84.399911,Night,0,6,11
28655,62039,A-2778639,2016-11-29 09:00:07,Clayton,GA,3,33.63531,-84.45725999999999,Day,1,9,11
28662,62087,A-2778687,2016-11-29 09:51:50,Clayton,GA,2,33.63531,-84.45725999999999,Day,1,9,11
28766,62566,A-2779166,2016-11-30 08:39:31,Clayton,GA,2,33.62964,-84.30024,Day,2,8,11
28824,62801,A-2779401,2016-09-12 07:36:21,Clayton,GA,2,33.583588,-84.371478,Day,0,7,9
29008,63445,A-2780045,2016-09-13 17:26:51,Clayton,GA,2,33.577612,-84.27918100000001,Day,1,17,9
29025,63500,A-2780100,2016-09-13 20:54:59,Clayton,GA,3,33.62966,-84.40066,Night,1,20,9
29282,64517,A-2781117,2016-09-16 07:37:58,Clayton,GA,3,33.573640000000005,-84.27564,Day,4,7,9
29312,64632,A-2781232,2016-09-23 06:11:16,Clayton,GA,4,33.550309999999996,-84.41478000000001,Night,4,6,9
29356,64857,A-2781457,2016-09-23 14:29:04,Clayton,GA,3,33.56532,-84.32063000000001,Day,4,14,9
29413,65020,A-2781620,2016-09-23 18:39:48,Clayton,GA,2,33.63215,-84.39668,Day,4,18,9
29687,66312,A-2782912,2016-09-28 16:32:03,Clayton,GA,2,33.63176,-84.39544000000001,Day,2,16,9
29907,67212,A-2783812,2016-09-30 22:44:20,Clayton,GA,3,33.63531,-84.45725999999999,Night,4,22,9
29911,67245,A-2783845,2016-10-01 04:44:01,Clayton,GA,4,33.64693,-84.3982,Night,5,4,10
30057,67861,A-2784461,2016-10-04 08:28:10,Clayton,GA,3,33.616170000000004,-84.44304,Day,1,8,10
30093,67999,A-2784599,2016-10-04 13:10:52,Clayton,GA,2,33.63176,-84.39544000000001,Day,1,13,10
30362,68971,A-2785571,2016-10-07 08:43:46,Clayton,GA,2,33.64809,-84.37006,Day,4,8,10
30371,69035,A-2785635,2016-10-07 12:25:29,Clayton,GA,2,33.62966,-84.40066,Day,4,12,10
30555,69925,A-2786525,2016-10-11 20:25:43,Clayton,GA,2,33.54916,-84.26865,Night,1,20,10
30654,70285,A-2786885,2016-10-12 20:58:14,Clayton,GA,2,33.537391,-84.367126,Night,2,20,10
30655,70286,A-2786886,2016-10-12 20:58:14,Clayton,GA,2,33.53739,-84.367132,Night,2,20,10
30677,70371,A-2786971,2016-10-13 07:37:51,Clayton,GA,2,33.58422,-84.37375,Night,3,7,10
30769,70763,A-2787363,2016-10-14 07:12:06,Clayton,GA,2,33.62422,-84.45804,Night,4,7,10
30792,70865,A-2787465,2016-10-14 09:14:49,Clayton,GA,2,33.63238,-84.39631,Day,4,9,10
31035,72008,A-2788608,2016-10-18 16:08:47,Clayton,GA,2,33.62964,-84.30024,Day,1,16,10
31176,72585,A-2789185,2016-10-20 05:37:01,Clayton,GA,3,33.63136,-84.41223000000001,Night,3,5,10
31177,72586,A-2789186,2016-10-20 05:37:01,Clayton,GA,3,33.63292,-84.40753000000001,Night,3,5,10
31178,72587,A-2789187,2016-10-20 05:37:01,Clayton,GA,3,33.63364,-84.40383,Night,3,5,10
31430,73508,A-2790108,2016-08-03 10:30:59,Clayton,GA,2,33.609790000000004,-84.39609,Day,2,10,8
31601,74362,A-2790962,2016-08-06 05:56:13,Clayton,GA,4,33.62966,-84.40066,Night,5,5,8
31614,74447,A-2791047,2016-08-07 02:04:12,Clayton,GA,3,33.616170000000004,-84.44304,Night,6,2,8
31777,75235,A-2791835,2016-08-09 14:03:01,Clayton,GA,2,33.57855,-84.3503,Day,1,14,8
31906,75796,A-2792396,2016-08-10 20:16:56,Clayton,GA,3,33.616215999999994,-84.441325,Day,2,20,8
32053,76434,A-2793034,2016-08-12 15:01:00,Clayton,GA,2,33.616170000000004,-84.44304,Day,4,15,8
32079,76597,A-2793197,2016-08-13 06:37:30,Clayton,GA,4,33.62766,-84.40167,Night,5,6,8
32080,76598,A-2793198,2016-08-13 06:37:30,Clayton,GA,4,33.62683,-84.41891,Night,5,6,8
32141,76919,A-2793519,2016-08-15 10:36:25,Clayton,GA,4,33.667297,-84.340379,Day,0,10,8
32148,76946,A-2793546,2016-08-15 11:20:54,Clayton,GA,3,33.667297,-84.340379,Day,0,11,8
32149,76947,A-2793547,2016-08-15 11:20:54,Clayton,GA,3,33.664911,-84.338934,Day,0,11,8
32291,77678,A-2794278,2016-08-17 08:27:02,Clayton,GA,2,33.609790000000004,-84.39609,Day,2,8,8
32510,78776,A-2795376,2016-08-20 13:45:27,Clayton,GA,3,33.616739,-84.44739399999999,Day,5,13,8
32519,78818,A-2795418,2016-08-21 03:35:12,Clayton,GA,4,33.62683,-84.41891,Night,6,3,8
32520,78820,A-2795420,2016-08-21 03:35:12,Clayton,GA,4,33.62766,-84.40167,Night,6,3,8
32677,79496,A-2796096,2016-08-23 14:01:19,Clayton,GA,2,33.557970000000005,-84.27033,Day,1,14,8
32814,79964,A-2796564,2016-08-24 16:02:54,Clayton,GA,2,33.63367,-84.40126,Day,2,16,8
32865,80153,A-2796753,2016-08-25 06:25:50,Clayton,GA,3,33.629090000000005,-84.40042,Night,3,6,8
32951,80449,A-2797049,2016-08-25 18:03:27,Clayton,GA,3,33.61886,-84.43324,Day,3,18,8
33109,81092,A-2797692,2016-08-29 00:19:24,Clayton,GA,4,33.6316,-84.4109,Night,0,0,8
33350,81991,A-2798591,2016-08-31 08:13:00,Clayton,GA,2,33.463983,-84.333975,Day,2,8,8
33445,82410,A-2799010,2016-09-01 09:13:35,Clayton,GA,2,33.63176,-84.39544000000001,Day,3,9,9
33446,82411,A-2799011,2016-09-01 09:12:12,Clayton,GA,2,33.62683,-84.41891,Day,3,9,9
33634,83216,A-2799816,2016-09-03 12:16:37,Clayton,GA,3,33.58805,-84.38351999999999,Day,5,12,9
33697,83456,A-2800056,2016-09-05 17:51:44,Clayton,GA,2,33.6316,-84.4109,Day,0,17,9
33761,83715,A-2800315,2016-09-06 13:36:54,Clayton,GA,2,33.63136,-84.41223000000001,Day,1,13,9
33844,84026,A-2800626,2016-09-07 08:51:00,Clayton,GA,2,33.609790000000004,-84.39609,Day,2,8,9
33852,84038,A-2800638,2016-09-07 09:05:47,Clayton,GA,2,33.58553,-84.378371,Day,2,9,9
33857,84075,A-2800675,2016-09-07 09:35:12,Clayton,GA,2,33.609790000000004,-84.39609,Day,2,9,9
34186,85239,A-2801839,2016-09-10 21:16:04,Clayton,GA,3,33.58422,-84.37375,Night,5,21,9
34231,85422,A-2802022,2016-06-17 16:35:28,Clayton,GA,2,33.473568,-84.33693000000001,Day,4,16,6
34253,85545,A-2802145,2016-06-21 13:59:38,Clayton,GA,2,33.609790000000004,-84.39609,Day,1,13,6
34580,86890,A-2803490,2016-06-24 12:09:45,Clayton,GA,2,33.616170000000004,-84.44304,Day,4,12,6
34589,86906,A-2803506,2016-06-24 12:35:00,Clayton,GA,2,33.629090000000005,-84.40042,Day,4,12,6
34618,87003,A-2803603,2016-06-24 15:21:01,Clayton,GA,4,33.48109,-84.33906999999999,Day,4,15,6
34802,88011,A-2804611,2016-06-28 13:04:03,Clayton,GA,3,33.619341999999996,-84.45752,Day,1,13,6
34816,88100,A-2804700,2016-06-28 16:18:01,Clayton,GA,2,33.64562,-84.39832,Day,1,16,6
34886,88431,A-2805031,2016-06-29 10:52:41,Clayton,GA,2,33.6316,-84.4109,Day,2,10,6
34916,88597,A-2805197,2016-06-29 19:13:15,Clayton,GA,2,33.616170000000004,-84.44304,Day,2,19,6
34966,88820,A-2805420,2016-06-30 12:23:53,Clayton,GA,2,33.572424,-84.275526,Day,3,12,6
35015,89095,A-2805695,2016-07-01 08:06:51,Clayton,GA,2,33.61886,-84.43324,Day,4,8,7
35048,89230,A-2805830,2016-07-01 12:48:52,Clayton,GA,3,33.56749,-84.32422,Day,4,12,7
35197,89998,A-2806598,2016-07-05 20:58:43,Clayton,GA,3,33.61717,-84.39841,Night,1,20,7
35497,91269,A-2807869,2016-07-10 06:07:04,Clayton,GA,3,33.629090000000005,-84.40042,Night,6,6,7
35509,91300,A-2807900,2016-07-10 19:03:47,Clayton,GA,3,33.61717,-84.39841,Day,6,19,7
35707,92246,A-2808846,2016-07-13 10:45:46,Clayton,GA,3,33.61886,-84.43324,Day,2,10,7
35857,92954,A-2809554,2016-07-14 19:56:30,Clayton,GA,2,33.58113,-84.27976,Day,3,19,7
35965,93378,A-2809978,2016-07-19 08:09:12,Clayton,GA,2,33.618545000000005,-84.43865500000001,Day,1,8,7
36022,93577,A-2810177,2016-07-19 15:14:49,Clayton,GA,3,33.616170000000004,-84.44304,Day,1,15,7
36523,95883,A-2812483,2016-07-26 20:25:08,Clayton,GA,3,33.58805,-84.38351999999999,Day,1,20,7
36528,95916,A-2812516,2016-07-27 06:21:47,Clayton,GA,2,33.58805,-84.38351999999999,Night,2,6,7
36618,96282,A-2812882,2016-07-27 23:40:49,Clayton,GA,3,33.61717,-84.39841,Night,2,23,7
36626,96356,A-2812956,2016-07-28 08:54:02,Clayton,GA,3,33.574670000000005,-84.27615,Day,3,8,7
36640,96405,A-2813005,2016-07-28 10:34:27,Clayton,GA,3,33.629090000000005,-84.40042,Day,3,10,7
36831,97224,A-2813824,2016-07-30 05:45:28,Clayton,GA,3,33.61717,-84.39841,Night,5,5,7
64589,145704,A-2862304,2017-01-29 17:40:51,Clayton,GA,4,33.55089,-84.44878,Day,6,17,1
64624,145840,A-2862443,2017-01-30 08:36:24,Clayton,GA,2,33.648097,-84.397481,Day,0,8,1
64657,146002,A-2862605,2017-01-30 15:00:44,Clayton,GA,2,33.637473,-84.401439,Day,0,15,1
64774,146548,A-2863151,2017-01-31 20:27:02,Clayton,GA,3,33.58805,-84.38351999999999,Night,1,20,1
64824,146894,A-2863497,2017-02-01 22:52:44,Clayton,GA,4,33.58422,-84.37375,Night,2,22,2
64826,146906,A-2863509,2017-02-02 00:56:24,Clayton,GA,4,33.609790000000004,-84.39609,Night,3,0,2
64970,147474,A-2864077,2017-02-03 16:33:04,Clayton,GA,3,33.616170000000004,-84.44304,Day,4,16,2
65135,148247,A-2864850,2017-02-07 08:56:46,Clayton,GA,3,33.62683,-84.41891,Day,1,8,2
65360,148987,A-2865590,2017-02-08 17:49:04,Clayton,GA,2,33.629090000000005,-84.40042,Day,2,17,2
65417,149391,A-2865994,2017-02-09 13:22:16,Clayton,GA,2,33.58113,-84.27976,Day,3,13,2
65575,150298,A-2866901,2017-02-13 07:20:17,Clayton,GA,2,33.61124,-84.39653,Night,0,7,2
70694,159490,A-2876095,2017-02-19 02:48:48,Clayton,GA,3,33.61717,-84.39841,Night,6,2,2
70698,159509,A-2876114,2017-02-19 10:46:29,Clayton,GA,3,33.616662,-84.440232,Day,6,10,2
70745,159743,A-2876348,2017-02-20 14:07:45,Clayton,GA,3,33.61224,-84.39681,Day,0,14,2
70778,159908,A-2876513,2017-02-21 06:53:45,Clayton,GA,2,33.609790000000004,-84.39609,Night,1,6,2
70795,160030,A-2876635,2017-02-21 10:21:44,Clayton,GA,3,33.621196000000005,-84.399339,Day,1,10,2
70908,160562,A-2877167,2017-02-22 18:13:45,Clayton,GA,2,33.64693,-84.3982,Day,2,18,2
70909,160563,A-2877168,2017-02-22 18:13:45,Clayton,GA,2,33.639959999999995,-84.40241999999999,Day,2,18,2
70917,160598,A-2877203,2017-02-22 19:48:25,Clayton,GA,2,33.62375,-84.42393,Night,2,19,2
71107,161471,A-2878076,2017-02-25 22:20:03,Clayton,GA,3,33.57498,-84.3355,Night,5,22,2
71190,161814,A-2878419,2017-02-27 17:09:09,Clayton,GA,4,33.479620000000004,-84.40850999999999,Day,0,17,2
71191,161815,A-2878420,2017-02-27 17:09:09,Clayton,GA,4,33.479648,-84.408475,Day,0,17,2
71232,162010,A-2878615,2017-02-28 08:31:45,Clayton,GA,3,33.584724,-84.375546,Day,1,8,2
71239,162045,A-2878650,2017-02-28 09:11:39,Clayton,GA,2,33.58422,-84.37375,Day,1,9,2
71433,163079,A-2879684,2017-03-02 12:31:58,Clayton,GA,2,33.57855,-84.3503,Day,3,12,3
71552,163749,A-2880354,2017-03-04 05:47:49,Clayton,GA,4,33.58113,-84.27976,Night,5,5,3
71568,163820,A-2880425,2017-03-05 10:25:49,Clayton,GA,3,33.561609999999995,-84.3145,Day,6,10,3
71682,164555,A-2881160,2017-03-07 19:01:49,Clayton,GA,2,33.61886,-84.43324,Night,1,19,3
71737,164865,A-2881470,2017-03-08 15:32:00,Clayton,GA,3,33.629090000000005,-84.40042,Day,2,15,3
71940,165707,A-2882312,2017-03-10 23:04:55,Clayton,GA,4,33.63367,-84.40126,Night,4,23,3
71941,165708,A-2882313,2017-03-10 23:04:55,Clayton,GA,4,33.635740000000006,-84.3846,Night,4,23,3
71942,165709,A-2882314,2017-03-10 23:04:55,Clayton,GA,4,33.63364,-84.40383,Night,4,23,3
71943,165710,A-2882315,2017-03-10 23:04:55,Clayton,GA,4,33.63292,-84.40753000000001,Night,4,23,3
71944,165711,A-2882316,2017-03-10 23:04:55,Clayton,GA,4,33.63296,-84.3873,Night,4,23,3
71945,165712,A-2882317,2017-03-10 23:04:55,Clayton,GA,4,33.63238,-84.39631,Night,4,23,3
71947,165714,A-2882319,2017-03-10 23:04:55,Clayton,GA,4,33.639070000000004,-84.37810999999999,Night,4,23,3
72232,167275,A-2883880,2017-03-15 11:19:11,Clayton,GA,4,33.617163,-84.437475,Day,2,11,3
72241,167351,A-2883956,2017-03-15 14:34:13,Clayton,GA,4,33.4722,-84.33643000000001,Day,2,14,3
72242,167352,A-2883957,2017-03-15 14:34:13,Clayton,GA,4,33.4722,-84.33643000000001,Day,2,14,3
72429,168403,A-2885009,2017-03-18 03:28:33,Clayton,GA,4,33.629465,-84.300454,Night,5,3,3
72526,168940,A-2885546,2017-03-20 17:57:11,Clayton,GA,3,33.616170000000004,-84.44304,Day,0,17,3
72868,170658,A-2887264,2017-03-26 01:12:03,Clayton,GA,2,33.629090000000005,-84.40042,Night,6,1,3
72869,170659,A-2887265,2017-03-26 01:12:03,Clayton,GA,2,33.63132,-84.39628,Night,6,1,3
72870,170660,A-2887266,2017-03-26 01:12:03,Clayton,GA,2,33.632490000000004,-84.38691,Night,6,1,3
72871,170661,A-2887267,2017-03-26 01:12:03,Clayton,GA,2,33.63578,-84.38365999999999,Night,6,1,3
73061,171559,A-2888166,2017-03-29 07:25:57,Clayton,GA,3,33.62683,-84.41891,Night,2,7,3
73079,171633,A-2888240,2017-03-29 09:56:44,Clayton,GA,2,33.609790000000004,-84.39609,Day,2,9,3
73096,171677,A-2888284,2017-03-29 11:58:10,Clayton,GA,3,33.584235,-84.373802,Day,2,11,3
73212,172239,A-2888846,2017-03-30 23:42:03,Clayton,GA,4,33.58805,-84.38351999999999,Night,3,23,3
80577,184653,A-2901260,2017-04-06 16:49:19,Clayton,GA,3,33.64692,-84.44818000000001,Day,3,16,4
80724,185391,A-2901998,2017-04-10 15:45:30,Clayton,GA,3,33.61886,-84.43324,Day,0,15,4
80760,185543,A-2902150,2017-04-11 01:22:10,Clayton,GA,2,33.637473,-84.401439,Night,1,1,4
81141,187305,A-2903912,2017-04-17 21:35:44,Clayton,GA,2,33.61737,-84.44997,Night,0,21,4
81525,188824,A-2905431,2017-04-22 01:53:00,Clayton,GA,3,33.62966,-84.40066,Night,5,1,4
81866,190447,A-2907054,2017-04-28 03:07:37,Clayton,GA,3,33.63292,-84.40753000000001,Night,4,3,4
81867,190449,A-2907056,2017-04-28 03:07:37,Clayton,GA,3,33.63136,-84.41223000000001,Night,4,3,4
81929,190779,A-2907386,2017-04-29 04:39:52,Clayton,GA,4,33.61717,-84.39841,Night,5,4,4
81932,190799,A-2907406,2017-04-29 08:15:52,Clayton,GA,2,33.629090000000005,-84.40042,Day,5,8,4
81970,191048,A-2907655,2017-05-01 12:00:52,Clayton,GA,2,33.616279999999996,-84.29722,Day,0,12,5
82281,192336,A-2908943,2017-05-05 03:35:42,Clayton,GA,3,33.623612,-84.424175,Night,4,3,5
87236,200186,A-2916793,2017-05-08 20:41:43,Clayton,GA,2,33.635225,-84.399788,Night,0,20,5
87255,200366,A-2916973,2017-05-09 11:29:47,Clayton,GA,3,33.61737,-84.44997,Day,1,11,5
87330,200722,A-2917329,2017-05-11 01:58:58,Clayton,GA,3,33.62683,-84.41891,Night,3,1,5
87507,201495,A-2918102,2017-05-13 23:54:24,Clayton,GA,4,33.58422,-84.37375,Night,5,23,5
87572,201839,A-2918446,2017-05-16 00:25:09,Clayton,GA,4,33.53889,-84.351715,Night,1,0,5
87671,202241,A-2918848,2017-05-17 08:26:04,Clayton,GA,2,33.58422,-84.37375,Day,2,8,5
87688,202290,A-2918897,2017-05-17 10:10:19,Clayton,GA,2,33.609790000000004,-84.39609,Day,2,10,5
87813,202746,A-2919353,2017-05-18 15:38:23,Clayton,GA,2,33.609790000000004,-84.39609,Day,3,15,5
87998,203625,A-2920232,2017-05-22 13:24:52,Clayton,GA,4,33.665224,-84.339451,Day,0,13,5
88010,203697,A-2920304,2017-05-22 16:23:17,Clayton,GA,2,33.618862,-84.433235,Day,0,16,5
88055,203893,A-2920500,2017-05-23 08:33:54,Clayton,GA,2,33.56749,-84.32422,Day,1,8,5
88173,204439,A-2921046,2017-05-24 17:22:23,Clayton,GA,2,33.57498,-84.3355,Day,2,17,5
88328,205129,A-2921736,2017-05-26 15:11:17,Clayton,GA,3,33.58422,-84.37375,Day,4,15,5
88513,205905,A-2922512,2017-05-30 18:01:58,Clayton,GA,2,33.61717,-84.39841,Day,1,18,5
88538,206012,A-2922619,2017-05-31 08:07:50,Clayton,GA,2,33.61737,-84.44997,Day,2,8,5
